name,range,battery_useable
AUDI Q4 SPORTBACK E-TRON 50 QUATTRO,400,76.6
NIO ET7 75 KWH,400,70.5
BMW I4 EDRIVE35,400,67.0
PORSCHE TAYCAN TURBO S SPORT TURISMO,395,83.7
HYUNDAI KONA ELECTRIC 64 KWH,395,64.0
PORSCHE TAYCAN 4S,395,71.0
NIO ET5 75 KWH,395,70.5
SKODA ENYAQ IV RS,390,77.0
VOLVO XC40 RECHARGE TWIN MOTOR,390,79.0
GENESIS GV60 PREMIUM,390,74.0
HYUNDAI IONIQ 5 LONG RANGE 2WD,390,74.0
POLESTAR 2 STANDARD RANGE SINGLE MOTOR,385,67.0
HYUNDAI IONIQ 5 LONG RANGE AWD,385,74.0
PORSCHE TAYCAN TURBO S CROSS TURISMO,385,83.7
AUDI Q4 E-TRON 50 QUATTRO,385,76.6
AUDI Q4 E-TRON 45 QUATTRO,385,76.6
BMW IX3,385,74.0
TESLA MODEL 3,380,57.5
JAGUAR I-PACE EV400,380,84.7
PORSCHE TAYCAN SPORT TURISMO,380,71.0
GENESIS GV60 SPORT,380,74.0
KIA NIRO EV,380,64.8
FISKER OCEAN SPORT,380,75.0
XPENG G9 RWD STANDARD RANGE,375,75.0
MERCEDES EQA 250+,375,70.5
MERCEDES EQC 400 4MATIC,370,80.0
PORSCHE TAYCAN 4S SPORT TURISMO,370,71.0
KIA EV6 GT,370,74.0
KIA E-SOUL 64 KWH,370,64.0
MG ZS EV LONG RANGE,365,68.3
RENAULT MEGANE E-TECH EV60 130HP,365,60.0
GENESIS GV60 SPORT PLUS,365,74.0
MG MG4 ELECTRIC 64 KWH,365,61.7
MERCEDES EQB 250+,365,70.5
HYUNDAI IONIQ 6 STANDARD RANGE 2WD,360,54.0
BMW IX XDRIVE40,360,71.0
RENAULT MEGANE E-TECH EV60 220HP,360,60.0
VOLVO C40 RECHARGE SINGLE MOTOR,355,66.0
MERCEDES EQA 250,355,66.5
BMW IX1 XDRIVE30,355,64.7
HONGQI E-HS9 99 KWH,355,90.0
FORD MUSTANG MACH-E SR RWD,355,70.0
VOLKSWAGEN ID.3 PRO,350,58.0
GENESIS GV70 ELECTRIFIED SPORT,350,74.0
MERCEDES EQA 300 4MATIC,350,66.5
MERCEDES EQA 350 4MATIC,350,66.5
AIWAYS U6,350,60.0
CUPRA BORN 150 KW - 58 KWH,350,58.0
BYD TANG,350,84.0
