id_station_itinerance,consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
FRM54PCUGN8911,6.792528,48.429512,2,22000
FRM54PCUGN9011,6.749424,48.497579,2,22000
FRM54PCUGN11611,6.235897,48.651288,2,22000
FRM54PCUGN9211,6.753659,48.515558,2,22000
FRM54PCUGN9612,6.741191,48.528566,2,22000
FRM54PCUGN9411,6.529493,48.596794,2,22000
FRM54PCUGN9511,6.62415,48.506082,2,22000
FRM54PCUGN11912,6.132647,48.771853,2,22000
FRM54PCUGN11812,6.186692,48.669613,2,22000
FRM54PCUGN1011,6.252662,48.707504,2,22000
FRM54PCUGN411,6.173022,48.689762,2,22000
FRM54PCUGN511,6.196215,48.694878,2,22000
FRM54PCUGN611,6.225206,48.702408,2,22000
FRM54PCUGN821,6.209852,48.694763,2,22000
FRM54PCUGN911,6.180104,48.645809,2,22000
FRM54PCUGN2211,6.052047,48.883568,2,22000
FRM54PCUGN1311,6.250865,48.702171,2,22000
FRM54PCUGN1411,6.22903,48.658569,2,22000
FRM54PCUGN1611,6.142407,48.698059,2,22000
FRM54PCUGN1711,6.199602,48.69315,2,22000
FRM54PCUGN1911,6.133857,48.699406,2,22000
FRM54PCUGN342,6.175165,48.690281,2,3000
FRM54PCUGN111,6.17407,48.686047,2,22000
FRM54PCUGN211,6.177347,48.687977,2,22000
FRM54PCUGN2112,6.068884,48.842911,2,22000
FRM54PCUGN3211,5.77921,49.289143,2,22000
FRM54PCUGN3612,6.145994,48.649043,2,22000
FRM54PCUGN3512,6.175381,48.689914,2,22000
FRM54PCUGN3112,5.900021,49.311222,2,22000
FRM54PCUGN2612,5.902419,49.415974,2,22000
FRM54PCUGN3011,5.75571,49.388744,2,22000
FRM54PCUGN2912,5.804458,49.321175,2,22000
FRM54PCUGN2812,5.905749,49.366657,2,22000
FRM54PCUGN2712,5.930792,49.429157,2,22000
FRM54PCUGN3711,6.16177,48.622033,2,22000
FRM54PCUGN2311,5.930843,49.324322,2,22000
FRM54PCUGN4322,6.185137,48.692368,2,22000
FRM54PCUGN4212,6.099536,48.614155,2,22000
FRM54PCUGN4112,6.092196,48.618467,2,22000
FRM54PCUGN4012,6.252347,48.70712,2,22000
FRM54PCUGN3912,6.194121,48.649816,2,22000
FRM54PCUGN3812,6.17863,48.666908,2,22000
FRM54PCUGN4411,6.183827,48.695024,2,22000
FRM54PCUGN2411,5.834023,49.327763,2,22000
FRM54PCUGN2512,5.741943,49.293346,2,22000
FRS17PMB172412,-0.678903,45.568583,2,50000
FRS17PMB172511,-0.303649,45.527902,2,43000
FRS17PMB174011,-0.936192,46.114931,3,43000
FRS17PMB174211,-0.96002,45.944355,3,43000
FRS17PMB174111,-0.958623,45.934373,3,43000
FRS17PMB172312,-0.013245,45.157408,2,50000
FRS17PMB174813,-0.422257,45.774072,3,50000
FRS17PMB171912,-1.392039,46.183592,2,50000
FRS17PMB173912,-1.317532,46.155851,3,50000
FRS17PMB171712,-0.568038,45.480921,2,50000
FRS17PMB171811,-1.060593,45.64539,2,43000
FRS17PMB172011,-1.050769,45.62793,2,43000
FRS17PMB176012,-1.378539,46.027521,2,50000
FRS17PMB172111,-0.31735,45.869989,2,43000
FRS17PMB172211,-1.30677,45.941801,2,43000
FRS17PMB175012,-0.505448,45.817534,3,50000
FRS17PMB174913,-0.496067,45.764361,3,50000
FRS17PMB174311,-0.406388,45.284856,3,43000
FRS17PMB174411,-0.556037,45.717543,3,43000
FRS17PMB174511,-0.510211,45.940547,3,43000
FRS17PMB174611,-0.529733,45.948627,3,43000
FRS17PMB174711,-0.962153,45.94209,3,43000
FRS17PMB175812,-0.929732,45.666839,2,22000
FRS17PMB175111,-0.779485,45.700818,3,43000
FRS17PMB175613,-1.01114,45.67263,3,50000
FRS17PMB175513,-1.33143,46.19102,3,50000
FRS17PMB175413,-1.06977,46.14952,3,50000
FRS17PMB175313,-1.018217,45.62523,3,50000
FRS17PMB175213,-1.033112,45.620421,3,50000
FRS17PMB173813,-1.432498,46.224022,3,50000
FRS17PMB173313,-0.345935,46.019559,3,50000
FRS17PMB171211,-0.892793,45.943879,2,43000
FRS17PMB171311,-0.569505,45.373002,3,43000
FRS17PMB171411,-1.367359,46.200984,2,43000
FRS17PMB171511,-1.064226,46.188736,2,43000
FRS17PMB171611,-1.351954,45.972849,2,43000
FRS17PMB172611,-0.838119,45.8611,2,43000
FRS17PMB172712,-0.955017,45.898288,2,50000
FRS17PMB172811,-1.178706,45.691602,2,43000
FRS17PMB173011,-1.194709,45.886536,3,43000
FRS17PMB171112,-1.029349,45.624614,2,50000
FRS17PMB173112,-1.188403,46.193318,3,50000
FRS17PMB17111,-0.925464,45.676244,2,43000
FRS17PMB17211,-0.752427,46.104744,2,43000
FRS17PMB17311,-0.272705,45.243315,2,43000
FRS17PMB17411,-0.663373,45.747971,1,22000
FRS17PMB17511,-0.548559,45.577977,2,43000
FRS17PMB17611,-1.276077,46.159822,2,43000
FRS17PMB17711,-1.116179,46.185988,2,43000
FRS17PMB17811,-0.517812,45.94568,2,43000
FRS17PMB17911,-1.265068,45.91099,2,43000
FRS17PMB171011,-1.094403,46.152379,2,43000
FRS17PMB173512,-0.813299,45.740856,3,50000
FRS17PMB173713,-1.096399,46.300894,3,50000
FRS17PMB173211,-0.678354,45.876197,3,43000
FRS17PMB173613,-1.079027,46.08067,3,50000
FRS17PMB173413,-1.142896,45.768927,3,50000
FRSIGPSIGE18341,2.209007,48.863623,1,7000
FRSIGPSIGE18212,2.265278,48.819562,2,22000
FRSIGPSIGE18511,2.313149,48.790097,1,7000
FRSIGPSIGE18411,2.221831,48.8768,1,7000
FRSIGPSIGE18112,2.456492,48.808336,2,22000
FRSIGPSIGE17811,2.642232,48.974569,2,22000
FRSIGPSIGE18012,2.213168,48.821562,2,22000
FRSIGPSIGE17911,2.612309,48.98021,2,22000
FRSIGPSIGE17741,2.313813,48.919804,1,7000
FRSIGPSIGE17612,2.637631,48.873611,2,24000
FRSIGPSIGE17512,2.216118,48.751964,2,22000
FRSIGPSIGE17412,2.288179,49.003723,2,22000
FRSIGPSIGE18711,2.304591,48.799297,1,7000
FRSIGPSIGE19411,2.479328,49.009207,2,22000
FRSIGPSIGE19711,2.1842,48.800118,2,24000
FRSIGPSIGE19612,2.322472,49.045307,2,22000
FRSIGPSIGE19512,2.310958,49.041152,2,22000
FRSIGPSIGE19322,2.229961,48.7865,2,22000
FRSIGPSIGE18611,2.321975,48.80181,1,7000
FRSIGPSIGE19212,2.028097,48.799939,2,22000
FRSIGPSIGE19112,2.329537,48.739087,2,22000
FRSIGPSIGE19012,2.322484,48.755884,2,22000
FRSIGPSIGE18861,2.31427,48.805902,1,7000
FRSIGPSIGE28512,2.388748,49.006074,2,24000
FRSIGPSIGE36911,2.176,48.9915,1,22000
FRSIGPSIGE36111,2.2277,48.9842,1,22000
FRSIGPSIGE36211,2.206,49.0509,1,22000
FRSIGPSIGE36311,2.127156,49.004227,1,22000
FRSIGPSIGE36411,2.14247,49.0004,1,22000
FRSIGPSIGE36511,2.15787,49.0025,1,22000
FRSIGPSIGE36611,2.12663,49.0169,1,22000
FRSIGPSIGE36711,2.1658,48.99,1,22000
FRSIGPSIGE36811,2.1449,48.998,1,22000
FRSIGPSIGE37111,2.181,48.9796,1,7000
FRSIGPSIGE38212,2.2215,49.0258,2,7000
FRSIGPSIGE37211,2.1813,48.9621,1,22000
FRSIGPSIGE37311,2.17747,48.9747,1,22000
FRSIGPSIGE37511,2.264582,48.743228,1,7000
FRSIGPSIGE37811,2.2108,49.0173,2,22000
FRSIGPSIGE36011,2.2361,48.9843,1,22000
FRSIGPSIGE35911,2.2229,48.9911,1,22000
FRSIGPSIGE35711,2.2338,48.994,1,7000
FRSIGPSIGE34011,2.20896,49.0369,1,22000
FRSIGPSIGE34111,2.2047,49.0408,1,22000
FRSIGPSIGE34211,2.27736,48.9917,1,22000
FRSIGPSIGE34311,2.27636,49.0022,1,22000
FRSIGPSIGE34511,2.27439,48.98,1,22000
FRSIGPSIGE34611,2.26679,48.995,1,22000
FRSIGPSIGE34711,2.28509,48.9913,1,22000
FRSIGPSIGE34911,2.26089,48.9913,1,22000
FRSIGPSIGE35011,2.26261,48.9898,1,22000
FRSIGPSIGE35111,2.25678,48.985,1,22000
FRSIGPSIGE35211,2.27183,48.9797,1,22000
FRSIGPSIGE35311,2.26332,48.9852,1,22000
