FRM54PCUGN9611,6.741191,48.528566
FRM54PCUGN9712,6.735212,48.444032
FRM54PCUGN9812,6.44907,48.52959
FRM54PCUGN9911,6.691154,48.473567
FRM54PCUGN10011,6.732776,48.481303
FRM54PCUGN10112,6.651412,48.611865
FRM54PCUGN4011,6.252347,48.70712
FRM54PCUGN3511,6.175381,48.689914
FRM54PCUGN3621,6.145994,48.649043
FRM54PCUGN3711,6.16177,48.622033
FRM54PCUGN3812,6.17863,48.666908
FRM54PCUGN3911,6.194121,48.649816
FRM54PCUGN4112,6.092196,48.618467
FRM54PCUGN4212,6.099536,48.614155
FRM54PCUGN4312,6.185137,48.692368
FRM54PCUGN4411,6.183827,48.695024
FRM54PCUGN4612,6.188514,48.684557
FRM54PCUGN3211,5.77921,49.289143
FRM54PCUGN4712,6.468064,48.562346
FRM54PCUGN2512,5.741943,49.293346
FRM54PCUGN5411,6.694515,48.487852
FRM54PCUGN1912,6.133857,48.699406
FRM54PCUGN2112,6.068884,48.842911
FRM54PCUGN2211,6.052047,48.883568
FRM54PCUGN2312,5.930843,49.324322
FRM54PCUGN2411,5.834023,49.327763
FRM54PCUGN2611,5.902419,49.415974
FRM54PCUGN2711,5.930792,49.429157
FRM54PCUGN2811,5.905749,49.366657
FRM54PCUGN2912,5.804458,49.321175
FRM54PCUGN3011,5.75571,49.388744
FRM54PCUGN3112,5.900021,49.311222
FRM54PCUGN4812,6.497805,48.588446
FRM54PCUGN5312,6.500003,48.591825
FRM54PCUGN5212,6.503267,48.59336
FRM54PCUGN5111,6.489549,48.591508
FRM54PCUGN5011,6.495991,48.592458
FRM54PCUGN4911,6.489047,48.598501
FRS17PMB174811,-0.422257,45.774072
FRS17PMB173613,-1.079027,46.08067
FRS17PMB173711,-1.096399,46.300894
FRS17PMB173811,-1.432498,46.224022
FRS17PMB173913,-1.317532,46.155851
FRS17PMB174012,-0.936192,46.114931
FRS17PMB174413,-0.556037,45.717543
FRS17PMB174112,-0.958623,45.934373
FRS17PMB174213,-0.96002,45.944355
FRS17PMB173513,-0.813299,45.740856
FRS17PMB172811,-1.178706,45.691602
FRS17PMB173013,-1.194709,45.886536
FRS17PMB173113,-1.188403,46.193318
FRS17PMB173213,-0.678354,45.876197
FRS17PMB173311,-0.345935,46.019559
FRS17PMB173413,-1.142896,45.768927
FRS17PMB174312,-0.406388,45.284856
FRS17PMB175413,-1.06977,46.14952
FRS17PMB175312,-1.018217,45.62523
FRS17PMB175211,-1.033112,45.620421
FRS17PMB175111,-0.779485,45.700818
FRS17PMB175011,-0.505448,45.817534
FRS17PMB172711,-0.955017,45.898288
FRS17PMB174911,-0.496067,45.764361
FRS17PMB175512,-1.33143,46.19102
FRS17PMB174713,-0.962153,45.94209
FRS17PMB174512,-0.510211,45.940547
FRS17PMB174611,-0.529733,45.948627
FRS17PMB176011,-1.378539,46.027521
FRS17PMB175811,-0.929732,45.666839
FRS17PMB175613,-1.01114,45.67263
FRS17PMB171512,-1.064226,46.188736
FRS17PMB171012,-1.094403,46.152379
FRS17PMB17811,-0.517812,45.94568
FRS17PMB17912,-1.265068,45.91099
FRS17PMB171312,-0.569505,45.373002
FRS17PMB171112,-1.029349,45.624614
