1,20.730898
6,21.629349
11,20.848577
16,22.099884
21,23.083855
26,23.836668
31,25.243427
36,25.834253
41,26.588829
46,27.077680
51,29.767921
56,31.260856
61,31.440421
66,34.234083
71,31.883169
76,32.728382
81,38.227292
86,35.892460
91,33.744496
96,38.369680
101,37.660467
106,39.236967
111,43.230063
116,41.968100
121,42.055109
126,44.641723
131,44.373423
136,44.321084
141,48.039165
146,47.356709
151,47.187409
156,50.439932
161,49.487960
166,52.528188
171,55.610588
176,54.972514
181,52.301441
186,47.450526
191,57.461476
196,54.160395
201,53.510200
251,62.855084
301,75.363180
351,76.494698
401,104.066884
451,106.558352
501,105.602779
551,125.603045
601,124.363821
